Cenário,Tecnica,Melhor_acc,Media_acc,Desvio,Tempo_total(s)
10%,Sem Aug,57.43,54.90839999999999,3.8498492178265895,64.22460341453552
10%,Albument,63.63,58.10800000000001,6.203208175344969,66.82567048072815
10%,RandAug,62.58,56.813999999999986,6.802209812504561,82.54078221321106
10%,Rand->Albument,64.72,57.5216,7.404719035858146,87.08252239227295
10%,Albument->Rand,63.07,57.61960000000001,7.054843182759865,68.17732739448547
10%,Rand+Albument (metades),64.28,58.1896,6.254607954673631,75.7202079296112
10%,Trivial+Albument (metades),63.59,58.097199999999994,6.194357324748602,74.4206850528717
5%,Sem Aug,51.69,48.47720000000001,4.017480055955474,45.90641903877258
5%,Albument,58.57,52.0316,6.589058911053485,49.24543213844299
5%,RandAug,57.68,49.1264,7.405725757817393,56.0696177482605
5%,Rand->Albument,58.35,50.956,7.366345769783007,63.968265771865845
5%,Albument->Rand,57.55,51.116399999999985,6.739126352873939,49.503113985061646
5%,Rand+Albument (metades),58.64,51.0744,7.331798369658928,53.08871936798096
5%,Rand+Trivial+Albument (terços),58.01,51.404799999999994,6.668769951547787,53.982158184051514
2.5%,Sem Aug,45.63,42.64240000000001,4.616687376608181,42.68841528892517
2.5%,RandAug,51.17,45.2132,5.953997060798738,45.91463088989258
2.5%,Albument,51.12,45.208,6.749720981887572,45.4626989364624
2.5%,Rand->Albument,52.83,44.84160000000001,6.504186907933484,63.20438313484192
2.5%,Albument->Trivial,52.13,46.3812,6.05037142110576,54.15942740440369
2.5%,Rand+Albument (metades),52.37,46.07079999999999,6.176935540109405,53.79537796974182
2.5%,Trivial+Albument (metades),51.72,45.924,6.126100581392158,51.57022023200989
1%,Sem Aug,38.05,35.47479999999999,3.4600037572233937,36.22416949272156
1%,Albument,43.08,37.3632,5.915069540306916,33.890769481658936
1%,RandAug,41.88,36.118,5.128888768534564,37.24108910560608
1%,Rand->Albument,43.45,36.24840000000001,6.7294023261108915,35.48614835739136
1%,Albument->CutMix,42.8,35.7052,6.632973264934311,36.01937484741211
1%,Rand+Trivial+Albument (terços),42.57,36.606,5.752469035118746,34.676759243011475
1%,Trivial+Albument (metades),42.26,36.376,6.061920075355662,38.58911609649658
